vessel_id,country,shiptype
a349d276ca355b282c8802991cf7f9fada0c8122c576628c4f6b00a7724e0705,Belgium,36.0
f52f81d515ebe315be7b507a1c158271af5244d58b5f45e509b75476af5b97cf,Belgium,60.0
da51e3612c1d9302fc4071193e38d80d9fc0087879781128c158c2cdfe260274,Belgium,36.0
2e716d5d2eaa12bf0777f07549fd191e3e6d1e4946a34ff58b55ca9646555498,Belgium,36.0
ba3674c3eedf93060ea423ba976139cb1b7a69d3b6f6f34436e4b529071682d2,Belgium,36.0
b2c1f5c5d6946881f7e4a114da9d24f20bd9431511f035065690d5dc6f98a99e,Belgium,36.0
23fe9fcdc7bce48e4a607e7b3815de271dc9de573508db4ff3321f92725cd1fe,Belgium,36.0
cb064535b2fd309efabb3cc213f0b9d403a90d077a1befcfc924c13a5fe41ea3,Belgium,37.0
ae31dd2d6b3af8c104e245d4db27d6778e533bdc683b6d41cb5fb61fd6934879,Belgium,36.0
4616ca422843d016f82513fea2cd0596887941cef75eefa9b44ccf5b9d5c4167,Bulgaria,70.0
15a12fc39dcee89d170f69cd5f9592b5f662de45d6c0796a1000eb8c52c8ce6a,Bulgaria,37.0
fbfe8321d1959cd9d150d116ea130415952738a9fa1b379184922e5878afbf46,Bulgaria,36.0
fc3c20b5b13b5bf4501e48df5e75bd6c30f1741caa7097787eeaf24f5bb73769,Bulgaria,37.0
4d7b5f333c019c3a5cbb2b8e2bb1189b61adf3943c3134a9d51696fe465a89bc,Bulgaria,36.0
4beef6a3b51c72b86fe45c4e1e9c0472437e54309fbf482c7c5f5b1f77dbcc00,Bulgaria,36.0
49b43641098a3b241d710c9da988dc95aa0c9d3e0b0acf87c87a2af37ab20bdf,Bulgaria,37.0
e59cd04fba6611b1ba7febf01c64f1371c4e063a3171cb42080f81e42d7571b8,Bulgaria,37.0
f7fb62ba6687562fe9259336ca47125c05fcec64c1e3311341e3805290bc291a,Bulgaria,37.0
c64d6ca59f6428664cd7ddb58b6d5a1ad5171ab12888b7ef927861ba55a9f315,Bulgaria,37.0
3f6efc98edfaf8a2cc3bed10ceb0051b674b64967f9a194b057159c5c8842f7f,Bulgaria,37.0
b6b07d6539017626c53080ed1e11208e4068308d29dcc557ab0581c9dd3dbd94,Bulgaria,37.0
e5fdc9fc544552dd7c6f66711bfb632106ab9f993a985106a8b15c80973ce399,Cyprus,70.0
576df536b0dddeffad7061d9a13eb49eb31e5bdeef393c0a00d9f7773581d391,Cyprus,80.0
42e98667855dfed997041c62bba28e04641151e503f6bc52275b03dfd0960b41,Cyprus,40.0
05689045c30e372c6603b3db8312f9d7444c75b42ff879d10e7b1fb8a7fd0cd9,Cyprus,37.0
167d5f94501340f4a12efa7ccca9c7cb69868dd335a9055b3e9ee6d5dbb27fdf,Cyprus,70.0
1ac48b46dce12db658da9b7b2cc4fefecef4a0524a0ceba75f82bb8407beff76,Cyprus,60.0
65ab93afb8da16a59438cbf78eb828d9ee2e7db21264a98b6abaebc3b302e64c,Cyprus,37.0
427d430af26d0541b4c3241b9c5a5c49eebc1df2bb9f8339d25b0151dd1afe33,Cyprus,40.0
b284d66fb71944f54acff54b5fef06aad53ed1305a9e45a14bc2b4f05cc22d50,Cyprus,60.0
e846f0625bbef839e5e83fc3140dcf856e2b4b55b2c79e6f25fef5279ed8e29c,Cyprus,60.0
59df84cf6765c5a92d797872f744e1047462be3f74a74f05ac69ca76fe4e9f85,Cyprus,36.0
c1113b0b1dc4e67eff060152db16d315bbab92221b4d17dc0f5a0f6f12256635,Cyprus,36.0
cfffebafd3978a471ed2495a814a6dd71ac817f4d86aa0ec9a4f4f8a02726b93,Cyprus,49.0
b6ce45e37aff96757b2a87fd26dc99a7ec30482321646863e08061e01c3a6c6a,Cyprus,40.0
f900e5c5216165b70c953fa9f77f796faeec968d4d2c7d05420f9c085ce67998,Cyprus,69.0
3ba5140d6a550127370721360b0e9e947abba3724cbe7584bdc8e28facb5ea01,Cyprus,30.0
6bd25b636635bfcf3ab04bb8703419e2e92585d329d18b13672329e58610bd98,Cyprus,52.0
1fe23a942952e63d7d3a87e6da8a3ed9de1696db4303a2db0393f43290a957cd,Cyprus,70.0
1e8d4e68aa0dd0dd325b3bece821ba60601279f53c1d434c2c9ed49d5cf754d5,Cyprus,72.0
0bb5d0c8d30a262f077f65feedca0ec1877883a94f96aab127c12dd319249293,Cyprus,37.0
5b53cea1893df61389767637884d1188ca8a9da7ebce5b70254cf8e8fa1f7bdc,Cyprus,70.0
77a52ea9efafd351d2d027808b516c1dbf5acf95c3e246f642c334611b8ecfad,Cyprus,84.0
04b6c84a518f833b7206a114ada7660d56888de1af6cabc7bbe2c46ea6a7d733,Cyprus,70.0
774565960433a586e3ae0277ad7bc364f73d30a4d112070543bced788fc2f4da,Cyprus,70.0
351063d6fc87ffcc5c391dc2853ac81d11b313caa5d154c36f7e38fe374746af,Cyprus,40.0
12a3d1d9aa2d0f34450472e75e75150112b919b3c469e052b0e2cc81cbe430ba,Cyprus,90.0
0a996889e35d95a7fd676f758c0a718f85d614843b59dca1a9f14ed0ab780e43,Cyprus,0.0
